name,brand,price,processor,ram,storage,battery,charging
Samsung Galaxy A26 5G 6GB/128GB,Samsung,6390000,Exynos 1380 8 nhân,6 GB,,5000 mAh,25 W
realme C75x 8GB/128GB,realme,4690000,MediaTek Helio G81-Ultra 8 nhân,6 GB,,5600 mAh,45 W
iPhone 16e 128GB,iPhone,16590000,Apple A18 6 nhân,8 GB,128 GB,26 giờ,20 W
iPhone 16 Pro Max 256GB,iPhone,31190000,Apple A18 Pro 6 nhân,8 GB,256 GB,33 giờ,20 W
Samsung Galaxy A56 5G 8GB/128GB,Samsung,9790000,Exynos 1580 8 nhân,8 GB,128 GB,5000 mAh,45 W
Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,28990000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,5000 mAh,45 W
Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,5490000,MediaTek Helio G99-Ultra 8 nhân,8 GB,128 GB,5500 mAh,33 W
Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,7490000,MediaTek Helio G100-Ultra 8 nhân,8 GB,256 GB,5500 mAh,45 W
OPPO Find N5 5G 16GB/512GB,OPPO,44990000,Qualcomm Snapdragon 8 Elite 8 nhân,16 GB,,5600 mAh,80 W
OPPO Reno13 5G 12GB/256GB,OPPO,15090000,MediaTek Dimensity 8350 5G 8 nhân,12 GB,256 GB,5600 mAh,80 W
realme C75 8GB/128GB,realme,5690000,MediaTek Helio G92 Max 8 nhân,8 GB,128 GB,6000 mAh,45 W
vivo V40 Lite 8GB/256GB,vivo,7490000,,8 GB,256 GB,5000 mAh,80 W
HONOR X9c Smart 5G 12GB/256GB,HONOR,7190000,MediaTek Dimensity 7025-Ultra 5G 8 nhân,12 GB,256 GB,5800 mAh,35 W
Tecno Spark 30 8GB/128GB,Tecno,3590000,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,5000 mAh,18 W
TCL 406s 4GB/64GB,TCL,1890000,,4 GB,64 GB,5000 mAh,10 W
iPhone 16 Plus 128GB,iPhone,22690000,Apple A18 6 nhân,8 GB,128 GB,27 giờ,20 W
iPhone 16 128GB,iPhone,19290000,Apple A18 6 nhân,8 GB,128 GB,22 giờ,20 W
