STT,name,brand,price,processor,ram,storage,battery,charging
1,Samsung Galaxy A26 5G 6GB/128GB,Samsung,6590000,Exynos 1380 8 nhân,6 GB,,5000 mAh,25 W
2,realme C75x 8GB/128GB,realme,4690000,MediaTek Helio G81-Ultra 8 nhân,6 GB,,5600 mAh,45 W
3,iPhone 16e 128GB,iPhone,16590000,Apple A18 6 nhân,8 GB,128 GB,26 giờ,20 W
4,iPhone 16e 256GB,iPhone,19490000,Apple A18 6 nhân,8 GB,256 GB,26 giờ,20 W
5,iPhone 16e 512GB,iPhone,24590000,Apple A18 6 nhân,8 GB,512 GB,26 giờ,20 W
6,iPhone 16 Pro Max 256GB,iPhone,31190000,Apple A18 Pro 6 nhân,8 GB,256 GB,33 giờ,20 W
7,iPhone 16 Pro Max 512GB,iPhone,37790000,Apple A18 Pro 6 nhân,8 GB,512 GB,33 giờ,20 W
8,iPhone 16 Pro Max 1TB,iPhone,43390000,Apple A18 Pro 6 nhân,8 GB,1 TB,33 giờ,20 W
9,Samsung Galaxy A56 5G 8GB/128GB,Samsung,9790000,Exynos 1580 8 nhân,8 GB,128 GB,5000 mAh,45 W
10,Samsung Galaxy A56 5G 8GB/256GB,Samsung,10790000,Exynos 1580 8 nhân,8 GB,256 GB,5000 mAh,45 W
11,Samsung Galaxy A56 5G 12GB/256GB,Samsung,11790000,Exynos 1580 8 nhân,12 GB,256 GB,5000 mAh,45 W
12,Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,28990000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,5000 mAh,45 W
13,Samsung Galaxy S25 Ultra 5G 12GB/512GB,Samsung,31790000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,512 GB,5000 mAh,45 W
14,Samsung Galaxy S25 Ultra 5G 12GB/1TB,Samsung,38090000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,1 TB,5000 mAh,45 W
15,Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,,MediaTek Helio G99-Ultra 8 nhân,8 GB,128 GB,5500 mAh,33 W
16,Xiaomi Redmi Note 14 8GB/256GB,Xiaomi,6290000,MediaTek Helio G99-Ultra 8 nhân,8 GB,256 GB,5500 mAh,33 W
17,Xiaomi Redmi Note 14 6GB/128GB,Xiaomi,4590000,MediaTek Helio G99-Ultra 8 nhân,6 GB,128 GB,5500 mAh,33 W
18,Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,7690000,MediaTek Helio G100-Ultra 8 nhân,8 GB,256 GB,5500 mAh,45 W
19,OPPO Find N5 5G 16GB/512GB,OPPO,44990000,Qualcomm Snapdragon 8 Elite 8 nhân,16 GB,,5600 mAh,80 W
20,OPPO Reno13 5G 12GB/256GB,OPPO,15590000,MediaTek Dimensity 8350 5G 8 nhân,12 GB,256 GB,5600 mAh,80 W
21,OPPO Reno13 5G 12GB/512GB,OPPO,16590000,MediaTek Dimensity 8350 5G 8 nhân,12 GB,512 GB,5600 mAh,80 W
22,realme C75 8GB/128GB,realme,5690000,MediaTek Helio G92 Max 8 nhân,8 GB,128 GB,6000 mAh,45 W
23,realme C75 8GB/256GB,realme,6490000,MediaTek Helio G92 Max 8 nhân,8 GB,256 GB,6000 mAh,45 W
24,realme C75 8GB/512GB,realme,6690000,MediaTek Helio G92 Max 8 nhân,8 GB,512 GB,6000 mAh,45 W
25,vivo V40 Lite 8GB/256GB,vivo,7490000,,8 GB,256 GB,5000 mAh,80 W
26,HONOR X9c Smart 5G 12GB/256GB,HONOR,7490000,MediaTek Dimensity 7025-Ultra 5G 8 nhân,12 GB,256 GB,5800 mAh,35 W
27,HONOR X9c 5G 12GB/256GB,HONOR,8990000,Snapdragon 6 Gen 1 5G 8 nhân,12 GB,256 GB,6600 mAh,66 W
28,Tecno Spark 30 8GB/128GB,Tecno,3590000,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,5000 mAh,18 W
29,TCL 406s 4GB/64GB,TCL,1890000,,4 GB,64 GB,5000 mAh,10 W
30,iPhone 16 Plus 128GB,iPhone,22690000,Apple A18 6 nhân,8 GB,128 GB,27 giờ,20 W
31,iPhone 16 Plus 512GB,iPhone,31990000,Apple A18 6 nhân,8 GB,512 GB,27 giờ,20 W
32,iPhone 16 Plus 256GB,iPhone,25990000,Apple A18 6 nhân,8 GB,256 GB,27 giờ,20 W
33,iPhone 16 128GB,iPhone,19290000,Apple A18 6 nhân,8 GB,128 GB,22 giờ,20 W
34,iPhone 16 256GB,iPhone,22990000,Apple A18 6 nhân,8 GB,256 GB,22 giờ,20 W
35,iPhone 16 512GB,iPhone,28990000,Apple A18 6 nhân,8 GB,512 GB,22 giờ,20 W
36,Samsung Galaxy S24 Ultra 5G 12GB/256GB,Samsung,23990000,Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,5000 mAh,45 W
37,Samsung Galaxy S24 Ultra 5G 12GB/512GB,Samsung,26090000,Snapdragon 8 Gen 3 for Galaxy,12 GB,512 GB,5000 mAh,45 W
38,Samsung Galaxy A16 5G 8GB/256GB,Samsung,6990000,MediaTek Dimensity 6300 5G 8 nhân,8 GB,256 GB,5000 mAh,25 W
39,Samsung Galaxy A16 5G 8GB/128GB,Samsung,6090000,MediaTek Dimensity 6300 5G 8 nhân,8 GB,128 GB,5000 mAh,25 W
40,Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,8890000,MediaTek Dimensity 7300-Ultra 8 nhân,8 GB,256 GB,5110 mAh,45 W
41,Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,Xiaomi,9690000,Snapdragon 7s Gen 3 5G 8 nhân,8 GB,256 GB,5110 mAh,120 W
42,OPPO Reno13 Pro 5G 12GB/512GB,OPPO,18490000,MediaTek Dimensity 8350 5G 8 nhân,12 GB,512 GB,5800 mAh,80 W
43,OPPO Reno13 F 8GB/256GB,OPPO,8790000,MediaTek Helio G100 8 nhân,8 GB,256 GB,5800 mAh,45 W
44,realme C65s 8GB/128GB,realme,4190000,Unisoc Tiger T612,8 GB,128 GB,5000 mAh,45 W
45,realme C65s 6GB/128GB,realme,3690000,Unisoc Tiger T612,6 GB,128 GB,5000 mAh,45 W
46,realme C65s 8GB/256GB,realme,4990000,Unisoc Tiger T612,8 GB,256 GB,5000 mAh,45 W
47,vivo Y29 8GB/128GB,vivo,6490000,,8 GB,128 GB,6500 mAh,44 W
48,vivo Y29 8GB/256GB,vivo,6990000,,8 GB,256 GB,6500 mAh,44 W
49,HONOR X5b Plus 4GB/128GB,HONOR,2790000,,4 GB,128 GB,5200 mAh,10 W
50,HONOR X5b 4GB/64GB,HONOR,2190000,,4 GB,64 GB,5200 mAh,10 W
51,Samsung Galaxy Z Fold6 5G 12GB/256GB,Samsung,35690000,Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh,25 W
52,Samsung Galaxy Z Fold6 5G 12GB/512GB,Samsung,40290000,Snapdragon 8 Gen 3 for Galaxy,12 GB,512 GB,4400 mAh,25 W
53,iPhone 15 Pro Max 256GB,iPhone,29990000,,8 GB,256 GB,4422 mAh,20 W
54,iPhone 15 Pro Max 512GB,iPhone,34990000,,8 GB,512 GB,4422 mAh,20 W
55,iPhone 15 Pro Max 1TB,iPhone,39990000,,8 GB,1 TB,4422 mAh,20 W
56,Samsung Galaxy A06 4GB/64GB,Samsung,2890000,,4 GB,64 GB,5000 mAh,25 W
57,Samsung Galaxy A06 6GB/128GB,Samsung,3490000,,6 GB,128 GB,5000 mAh,25 W
58,Samsung Galaxy A06 4GB/128GB,Samsung,3190000,,4 GB,128 GB,5000 mAh,25 W
59,iPhone 15 Plus 128GB,iPhone,19790000,,6 GB,128 GB,4383 mAh,20 W
60,iPhone 15 Plus 256GB,iPhone,22790000,,6 GB,256 GB,4383 mAh,20 W
61,iPhone 15 Plus 512GB,iPhone,28790000,,6 GB,512 GB,4383 mAh,20 W
62,Samsung Galaxy A35 5G 8GB/256GB,Samsung,6990000,,8 GB,256 GB,5000 mAh,25 W
63,Xiaomi 15 5G 12GB/256GB,Xiaomi,21990000,Qualcomm Snapdragon 8 Elite 8 nhân,12 GB,256 GB,5240 mAh,90 W
64,Xiaomi 15 5G 12GB/512GB,Xiaomi,22990000,Qualcomm Snapdragon 8 Elite 8 nhân,12 GB,512 GB,5240 mAh,90 W
65,Xiaomi 15 Ultra 5G 16GB/512GB Trắng,Xiaomi,32990000,Qualcomm Snapdragon 8 Elite 8 nhân,16 GB,512 GB,5410 mAh,90 W
66,OPPO A5 Pro 8GB/256GB,OPPO,6990000,Snapdragon 6s Gen 1 8 nhân,8 GB,256 GB,5800 mAh,45 W
67,OPPO A5 Pro 5G 8GB/512GB,OPPO,8490000,MediaTek Dimensity 6300 5G 8 nhân,8 GB,256 GB,5800 mAh,45 W
68,OPPO A60 8GB/128GB,OPPO,5490000,,8 GB,128 GB,5000 mAh,45 W
69,OPPO A60 8GB/256GB,OPPO,5690000,,8 GB,256 GB,5000 mAh,45 W
